dh2026pc10's monitor is listening on port: 3001
dh2026pc10 is monitoring: dh2026pc02
dh2026pc10 is proxying for URLShortener on hosts: 
dh2026pc02:3000
dh2026pc09:3000
dh2026pc05:3000
dh2026pc10:3000
on port: 8080
dh2026pc10's URLShortener is listening on port: 3000
This database has received: PUT NkknrHVN6pWw8sCIC182 http://C4diteTNcOOqzlEGkDqa5UErUbayEDHIhLcHixxKeRr6xA0luX9m1212D1zIfgjZIlfGvRG1dVS12ux1E8m1cVxlbUhdWBrBw3oh
This database has received: PUT XxwX7BbiordCFRq5Yxte http://zNf05tI62qn1GbrQvhDqWeHa5r11FRAYCtqvQ0Ss32c67KH1lBXDky85z3tJgb6dVIs48oLrYHLMWRr1nUwUUZWHuhPZBMaUbkmK
This database has received: PUT G1hqsNPsAmc6nTe8BCnb http://dsVXRCh8PiHfXlnb2aWlp9udQcD1KORcTF0O5bXeAWCObhdPDiYxs4m8ZH1Br7wCXABLTZl6V4YBZw0VJOH7O2FjqumaHrTDlncr
This database has received: PUT wnMNU1pm7KS7fSlsaT6y http://80uk1RetEnP5KepCkV5JqcZRZHS1GP14IRCBBoBIzGGGPBSXLvjhIodqHWZlE9z2WjPW3AYEhaaIhqCZPdzXSFwe70FoXk6OT0Dk
This database has received: PUT 0o7KbeWBSGsLpr8H5jZA http://S78YrxguwBVHrbNhTCnmUjI14Wf0yJFU3T83UAxFUMjOCZ4wrzMDJVT5MDMa0U8BxSc48mYI64nbHnBzJcZoO19fKnwl6UlcA6Js
This database has received: PUT 3zfFy6MVdmGwBthW87U3 http://uEHJ2qIO8IoIJ1IbBoOn685skGSo7fYRe0YP8ENwXBwhh8XcU7jZcN679FifraypYYqJRtsc1d6H7LjQP4wyqO5IwuZRXc9NwX6l
This database has received: PUT MIwLfOPY85xHmq4LLuoQ http://N7lTERILiODX9BMpkHqNCOqV0OVNO2zuKbtnrECHpxVV8nzmkyVBliAsIukQRTBb0EHbNRMYA9w7uiA0HwyOIH3suaIZpoq9tkqn
This database has received: PUT MKzbpJPZ4Jday8tnMlrU http://eAmf64b4H5vqPyyOjed2fjDhTk5TAE6uvS7q78DQTLTbbdRZ6Fo5iF2SCNKdkjqAQy4L3WE64Lxl36CjSTjMdv549xhRENEZnSwO
This database has received: PUT mlAH8gZdGIBOaA6Pthir http://JzTpnKLbcKqTtfnhjvBXWZCtPImnuBRuNzibEqQGl4NgFrMtf705aAGvWTKztVl5RxEfi02BiHWj6eoCvNFIYE476wyC3yGdpH57
This database has received: PUT 7dlgJ8YP5axLTf1AV9nL http://kxaNOzxeIWE6u83vpp5u6IpsW8QghIeNA0i2TRYjplthc9gT8mxiItclqELshhDneeE1BPzmgotW3HDsxLNb99j57fH4yJaxfeLt
This database has received: PUT jfchNwo8K2jknbSJ198C http://3OWElCNIjh6VO9dqPctHEd69CorYYE6NtGUQ2azdhjem4XwwmKDxqBa0pmtdKrpruNFPbUcgt6Xp7whODGHthlJwVPB9dOoUw4AB
This database has received: PUT 0vJeBJQJrI93tY3g4KnH http://WMyfMhXNVIvvvKf1RSukqpfFOG3iNT3wywem8c2V9IU30W4KPnhiSsSDiEsyjGQpNVhoi3ZuJ8amzuA0RyihO9beP0RBC9gKf6C6
This database has received: PUT veLdWnClqoxsq8xNERX8 http://lvuLvTMRdhXZlSJkayxemVRYzf7lbMiO6TrRTOlf4jTLQ4cCUAk97Z0cluuftPfThjh0wgPNWWRABYr0o9fjeA5jT2QuCfroRz5v
This database has received: PUT 0gmLsWb9ZZqKnOawfU4z http://Rh2CA626DQqfK2IjPvNAHC1jDMYZSj2lOdH6N2gdrohLOiUGpX3wYkZ1BkQ7plhlRomETvc0vaVNDLj1zjl4HayF2TKGLzudqVQ7
This database has received: PUT B5Tl94SSzUlgMyfsrCpS http://N37hkSirego7Rkh3tzGGZBoz9M7kZTguM5ub94TMwe0bPfkh6dKC3VQXR4XGXJkdhZrxH54n8bJQotaP8zlMpUBIEbQKQjVyDRZA
This database has received: PUT jNhOUNIruk8LXeVxcJRo http://SE7AUrlqpgptrbkdaGveDDAaBi3axq0b9aSwtoSULhOCZt5DDiqNsvcUa7JiL9iilEGv2sW66eWfiXH74Ax4dEwmy5ugu8AeFovy
This database has received: PUT WEpGxugbF0XJNj5BFyR8 http://JpfZLEH41CVIw4PNB6FLzKbMhZEk30ro3OIxhl3J1o7WpQraFoDNWsbOJ9NCOoWs4MAya9aBsv1BQozL2W2k6G9MGpURElMQM31p
This database has received: PUT uPbiilW1cLWOr736E3jx http://QUVOp6fouqRAW9cgWdGv229hVz3iWyvjX0x9DizffFXz69uACHEUltefhrTF2GuSNHrjMHtEpttAUqEoCCrdF4YZqinvxbHPL9sQ
