starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 15:57:06 2024	1726775826	0	2	2	2
Thu Sep 19 15:57:06 2024	1726775826	1	1	2	1
Thu Sep 19 15:57:06 2024	1726775826	1	2	3	2
Thu Sep 19 15:57:06 2024	1726775826	0	3	3	3
Thu Sep 19 15:57:06 2024	1726775826	0	3	4	3
Thu Sep 19 15:57:06 2024	1726775826	1	3	4	3
Thu Sep 19 15:57:06 2024	1726775826	0	4	4	4
Thu Sep 19 15:57:06 2024	1726775826	0	4	4	4
Thu Sep 19 15:57:06 2024	1726775826	0	4	4	4
Thu Sep 19 15:57:06 2024	1726775826	0	4	4	4
Thu Sep 19 15:57:06 2024	1726775826	1	4	4	4
Thu Sep 19 15:57:06 2024	1726775826	0	4	5	4
Thu Sep 19 15:57:06 2024	1726775826	0	4	5	4
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	1	5	5	4
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	5	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	6	5
Thu Sep 19 15:57:06 2024	1726775826	0	5	6	5
